name,2000,2009
Anhui Province,3038.24,10053
Beijing Municipality,2478.76,11866
Chongqing Municipality,1589.34,6527
Fujian Province,3920.07,11950
Gansu Province,983.36,3380
Guangdong Province,9662.23,39082
Guangxi Zhuang Autonomous Region,2050.14,7700
Guizhou Province,993.53,3887
Hainan Province,518.48,1647
Hebei Province,5088.96,17027
Heilongjiang Province,3253,8288
Henan Province,5137.66,19367
Hubei Province,3691.88,12930
Hunan Province,4276.32,12832
Inner Mongolia Autonomous Region,8582.73,34061
Jiangsu Province,2003.07,7589
Jiangxi Province,1821.19,7203
Jilin Province,4669.06,15065
Liaoning Province,1401.01,9700
Qinghai Province,263.59,1081
Shaanxi Province,8542.44,33805
Shandong Province,4551.45,14901
Shanghai Municipality,1643.81,7100
Shanxi Province,1660.92,8187
Sichuan Province,4010.25,14151
Tianjin Municipality,1364.36,4270
Tibet Autonomous Region,117.46,437
Yunnan Province,1955.09,6168
Zhejiang Province,6036.34,22832
